service,events,financial_impact,avg_impact
Security & Compliance,7,13896.33,1985.19
Compute,7,12745.83,1820.8328571428572
Data Transfer,7,11070.390000000001,1581.484285714286
Kubernetes/EKS,6,10907.079999999998,1817.8466666666664
Storage,7,10114.72,1444.9599999999998
Serverless,6,9668.66,1611.4433333333334
Networking,7,9545.91,1363.7014285714286
Analytics/ML,6,9004.679999999998,1500.7799999999997
Messaging,7,8820.189999999999,1260.0271428571427
Database,7,6927.549999999999,989.6499999999999
Backup/Snapshots,6,6156.540000000001,1026.0900000000001
Monitoring,7,5253.02,750.4314285714287
