date,service,anomaly_type,expected_cost,actual_cost,root_cause,severity,financial_impact,impact_pct,month,day_of_month,days_to_month_end,month_end_window_3d,deployment_event,severity_score,target_detection_sla_hours
2026-03-03,Compute,runaway-autoscaling,2460.51,4921.03,misconfigured max capacity,P2,2460.5199999999995,100.00040641980725,2026-03,3,28,0,0,3,4
2026-03-11,Storage,deployment-spike,2274.2,2842.74,large deployment,P4,568.54,24.999560284935363,2026-03,11,20,0,1,1,72
2026-01-10,Database,unexpected-egress,556.36,1112.72,cross-region transfer,P2,556.36,100.0,2026-01,10,21,0,0,3,4
2026-03-29,Data Transfer,idle-resource-growth,1218.07,2436.15,non-prod left running,P2,1218.0800000000002,100.00082097088018,2026-03,29,2,1,0,3,4
2026-03-03,Networking,storage-growth,1357.23,4071.69,missing lifecycle policy,P1,2714.46,200.0,2026-03,3,28,0,0,4,1
2026-02-19,Monitoring,unbudgeted-service,476.4,1429.2,new service launched,P1,952.8000000000001,200.00000000000006,2026-02,19,9,0,0,4,1
2026-06-05,Security & Compliance,runaway-autoscaling,1845.69,5537.07,misconfigured max capacity,P1,3691.3799999999997,199.99999999999997,2026-06,5,25,0,0,4,1
2026-06-10,Messaging,deployment-spike,1629.28,2443.93,large deployment,P3,814.6499999999999,50.00061376804478,2026-06,10,20,0,1,2,24
2026-04-27,Kubernetes/EKS,unexpected-egress,2389.82,7169.46,cross-region transfer,P1,4779.639999999999,199.99999999999994,2026-04,27,3,1,0,4,1
2026-06-22,Serverless,idle-resource-growth,2141.37,4282.75,non-prod left running,P2,2141.38,100.00046699075827,2026-06,22,8,0,0,3,4
2026-04-20,Analytics/ML,storage-growth,2122.97,4245.94,missing lifecycle policy,P2,2122.97,100.0,2026-04,20,10,0,0,3,4
2026-04-13,Backup/Snapshots,unbudgeted-service,1674.5,5023.51,new service launched,P1,3349.01,200.00059719319202,2026-04,13,17,0,0,4,1
2026-05-22,Compute,runaway-autoscaling,716.86,896.07,misconfigured max capacity,P4,179.21000000000004,24.999302513740485,2026-05,22,9,0,0,1,72
2026-04-10,Storage,deployment-spike,1240.43,3721.29,large deployment,P1,2480.8599999999997,199.99999999999994,2026-04,10,20,0,1,4,1
2026-05-29,Database,unexpected-egress,472.86,945.71,cross-region transfer,P2,472.85,99.99788520915281,2026-05,29,2,1,0,3,4
2026-03-09,Data Transfer,idle-resource-growth,419.42,838.85,non-prod left running,P2,419.43,100.00238424490963,2026-03,9,22,0,0,3,4
2026-01-13,Networking,storage-growth,2319.84,4639.68,missing lifecycle policy,P2,2319.84,100.0,2026-01,13,18,0,0,3,4
2026-05-10,Monitoring,unbudgeted-service,724.33,2172.98,new service launched,P1,1448.65,199.9986194138031,2026-05,10,21,0,0,4,1
2026-05-23,Security & Compliance,runaway-autoscaling,1668.84,5006.51,misconfigured max capacity,P1,3337.67,199.9994007813811,2026-05,23,8,0,0,4,1
2026-01-16,Messaging,deployment-spike,1108.32,1662.48,large deployment,P3,554.1600000000001,50.000000000000014,2026-01,16,15,0,1,2,24
2026-06-26,Kubernetes/EKS,unexpected-egress,1408.31,2112.46,cross-region transfer,P3,704.1500000000001,49.99964496453197,2026-06,26,4,0,0,2,24
2026-06-08,Serverless,idle-resource-growth,2095.44,2619.3,non-prod left running,P4,523.8600000000001,25.000000000000007,2026-06,8,22,0,0,1,72
2026-01-15,Analytics/ML,storage-growth,1575.13,1968.91,missing lifecycle policy,P4,393.78,24.999841282941723,2026-01,15,16,0,0,1,72
2026-02-12,Backup/Snapshots,unbudgeted-service,349.34,524.02,new service launched,P3,174.68,50.00286254079121,2026-02,12,16,0,0,2,24
2026-01-30,Compute,runaway-autoscaling,2468.69,3703.03,misconfigured max capacity,P3,1234.3400000000001,49.999797463432024,2026-01,30,1,1,0,2,24
2026-01-14,Storage,deployment-spike,379.89,1519.57,large deployment,P1,1139.6799999999998,300.00263234094075,2026-01,14,17,0,1,4,1
2026-02-03,Database,unexpected-egress,1569.68,1962.1,cross-region transfer,P4,392.41999999999985,24.99999999999999,2026-02,3,25,0,0,1,72
2026-03-02,Data Transfer,idle-resource-growth,1214.29,2428.57,non-prod left running,P2,1214.2800000000002,99.99917647349483,2026-03,2,29,0,0,3,4
2026-06-19,Networking,storage-growth,639.43,959.15,missing lifecycle policy,P3,319.72,50.000781946421036,2026-06,19,11,0,0,2,24
2026-03-09,Monitoring,unbudgeted-service,1275.23,1594.04,new service launched,P4,318.80999999999995,25.000196043066737,2026-03,9,22,0,0,1,72
2026-02-16,Security & Compliance,runaway-autoscaling,1359.51,2719.02,misconfigured max capacity,P2,1359.51,100.0,2026-02,16,12,0,0,3,4
2026-02-03,Messaging,deployment-spike,432.11,864.23,large deployment,P2,432.12,100.00231422554442,2026-02,3,25,0,1,3,4
2026-03-05,Kubernetes/EKS,unexpected-egress,1628.41,6513.65,cross-region transfer,P1,4885.24,300.0006140959586,2026-03,5,26,0,0,4,1
2026-01-27,Serverless,idle-resource-growth,2244.56,6733.67,non-prod left running,P1,4489.110000000001,199.99955447838332,2026-01,27,4,0,0,4,1
2026-04-29,Analytics/ML,storage-growth,1816.68,3633.37,missing lifecycle policy,P2,1816.6899999999998,100.00055045467555,2026-04,29,1,1,0,3,4
2026-06-16,Backup/Snapshots,unbudgeted-service,752.38,1128.57,new service launched,P3,376.18999999999994,49.99999999999999,2026-06,16,14,0,0,2,24
2026-02-12,Compute,runaway-autoscaling,2134.33,4268.67,misconfigured max capacity,P2,2134.34,100.00046853110814,2026-02,12,16,0,0,3,4
2026-05-07,Storage,deployment-spike,2393.82,3590.73,large deployment,P3,1196.9099999999999,49.999999999999986,2026-05,7,24,0,1,2,24
2026-03-07,Database,unexpected-egress,1081.62,2163.24,cross-region transfer,P2,1081.62,100.0,2026-03,7,24,0,0,3,4
2026-01-21,Data Transfer,idle-resource-growth,1852.29,7409.16,non-prod left running,P1,5556.87,300.0,2026-01,21,10,0,0,4,1
2026-06-21,Networking,storage-growth,506.42,633.03,missing lifecycle policy,P4,126.60999999999996,25.000987322775554,2026-06,21,9,0,0,1,72
2026-03-12,Monitoring,unbudgeted-service,476.06,952.13,new service launched,P2,476.07,100.00210057555769,2026-03,12,19,0,0,3,4
2026-02-01,Security & Compliance,runaway-autoscaling,1365.98,2731.96,misconfigured max capacity,P2,1365.98,100.0,2026-02,1,27,0,0,3,4
2026-06-20,Messaging,deployment-spike,1077.06,2154.11,large deployment,P2,1077.0500000000002,99.99907154661767,2026-06,20,10,0,1,3,4
2026-02-28,Kubernetes/EKS,unexpected-egress,331.68,414.6,cross-region transfer,P4,82.92000000000002,25.000000000000007,2026-02,28,0,1,0,1,72
2026-06-03,Serverless,idle-resource-growth,1872.3,2340.37,non-prod left running,P4,468.06999999999994,24.999732948779574,2026-06,3,27,0,0,1,72
2026-01-31,Analytics/ML,storage-growth,1770.74,5312.23,missing lifecycle policy,P1,3541.49,200.00056473564723,2026-01,31,0,1,0,4,1
2026-05-07,Backup/Snapshots,unbudgeted-service,1715.25,2572.88,new service launched,P3,857.6300000000001,50.000291502696406,2026-05,7,24,0,0,2,24
2026-01-18,Compute,runaway-autoscaling,657.17,985.76,misconfigured max capacity,P3,328.59000000000003,50.0007608381393,2026-01,18,13,0,0,2,24
2026-04-17,Storage,deployment-spike,491.41,982.83,large deployment,P2,491.42,100.00203496062352,2026-04,17,13,0,1,3,4
2026-03-03,Database,unexpected-egress,425.34,638.01,cross-region transfer,P3,212.67000000000002,50.000000000000014,2026-03,3,28,0,0,2,24
2026-06-26,Data Transfer,idle-resource-growth,1952.63,2928.95,non-prod left running,P3,976.3199999999997,50.00025606489707,2026-06,26,4,0,0,2,24
2026-04-03,Networking,storage-growth,1980.6,2970.89,missing lifecycle policy,P3,990.29,49.999495102494194,2026-04,3,27,0,0,2,24
2026-06-07,Monitoring,unbudgeted-service,837.36,1256.04,new service launched,P3,418.67999999999995,49.99999999999999,2026-06,7,23,0,0,2,24
2026-01-06,Security & Compliance,runaway-autoscaling,1297.83,2595.65,misconfigured max capacity,P2,1297.8200000000002,99.9992294830602,2026-01,6,25,0,0,3,4
2026-01-24,Messaging,deployment-spike,2306.51,6919.54,large deployment,P1,4613.03,200.0004335554582,2026-01,24,7,0,1,4,1
2026-04-20,Kubernetes/EKS,unexpected-egress,1032.87,1291.09,cross-region transfer,P4,258.22,25.000242044013287,2026-04,20,10,0,0,1,72
2026-06-27,Serverless,idle-resource-growth,2248.58,3372.87,non-prod left running,P3,1124.29,50.0,2026-06,27,3,1,0,2,24
2026-05-08,Analytics/ML,storage-growth,402.01,1206.03,missing lifecycle policy,P1,804.02,200.0,2026-05,8,23,0,0,4,1
