instance_id,instance_type,average_cpu_pct,peak_cpu_pct,average_memory_pct,peak_memory_pct,hours_running_per_month,months_observed,environment,team,hours_running_per_day,business_unit,estimated_monthly_cost,sustained_lt20_over_30d,target_type,target_monthly_cost,projected_monthly_savings,recommendation
i-0001,m5.xlarge,14.431666666666667,43.65,24.09166666666667,30.27,720.0,6,production,lending-backend,24.0,lending,140,True,m5.large,70.0,70.0,Right-size one family step after validation
i-0002,m5.large,13.420000000000002,39.91,19.278333333333332,24.81,720.0,6,staging,platform-infra,24.0,payments,70,True,m5.medium,35.0,35.0,Right-size one family step after validation
i-0003,m5.2xlarge,13.555,43.68,24.39833333333333,33.95,720.0,6,development,data-engineering,24.0,platform,280,True,m5.xlarge,140.0,140.0,Right-size one family step after validation
i-0004,r5.xlarge,10.44,41.78,23.328333333333333,34.83,720.0,6,sandbox,payments,24.0,lending,175,True,r5.large,87.5,87.5,Right-size one family step after validation
i-0005,r5.2xlarge,13.338333333333333,44.44,25.11,30.47,720.0,6,production,risk-engineering,24.0,payments,350,True,r5.xlarge,175.0,175.0,Right-size one family step after validation
i-0006,c5.xlarge,15.566666666666668,43.44,22.255,29.06,720.0,6,staging,product-engineering,24.0,platform,125,True,c5.large,62.5,62.5,Right-size one family step after validation
i-0007,c5.2xlarge,14.365,44.15,24.823333333333334,32.58,720.0,6,development,lending-backend,24.0,lending,250,True,c5.xlarge,125.0,125.0,Right-size one family step after validation
i-0008,t3.large,12.721666666666666,34.73,20.203333333333333,27.01,720.0,6,sandbox,platform-infra,24.0,payments,60,True,t3.medium,30.0,30.0,Right-size one family step after validation
i-0009,m5.xlarge,11.094999999999999,37.19,25.425,34.84,720.0,6,production,data-engineering,24.0,platform,140,True,m5.large,70.0,70.0,Right-size one family step after validation
i-0010,m5.large,14.456666666666665,31.41,25.304999999999996,32.35,720.0,6,staging,payments,24.0,lending,70,True,m5.medium,35.0,35.0,Right-size one family step after validation
i-0011,m5.2xlarge,15.54,36.74,23.90833333333333,30.37,720.0,6,development,risk-engineering,24.0,payments,280,True,m5.xlarge,140.0,140.0,Right-size one family step after validation
i-0012,r5.xlarge,14.038333333333332,44.08,22.28,33.41,720.0,6,sandbox,product-engineering,24.0,platform,175,True,r5.large,87.5,87.5,Right-size one family step after validation
i-0013,r5.2xlarge,14.548333333333332,42.2,24.27,31.69,720.0,6,production,lending-backend,24.0,lending,350,True,r5.xlarge,175.0,175.0,Right-size one family step after validation
i-0014,c5.xlarge,13.328333333333333,42.36,16.599999999999998,25.6,720.0,6,staging,platform-infra,24.0,payments,125,True,c5.large,62.5,62.5,Right-size one family step after validation
i-0015,c5.2xlarge,15.036666666666667,44.27,24.108333333333334,34.95,720.0,6,development,data-engineering,24.0,platform,250,True,c5.xlarge,125.0,125.0,Right-size one family step after validation
i-0016,t3.large,13.788333333333334,43.27,25.01,33.47,720.0,6,sandbox,payments,24.0,lending,60,True,t3.medium,30.0,30.0,Right-size one family step after validation
i-0017,m5.xlarge,13.603333333333333,42.39,18.255,30.16,720.0,6,production,risk-engineering,24.0,payments,140,True,m5.large,70.0,70.0,Right-size one family step after validation
i-0018,m5.large,14.731666666666667,41.55,21.540000000000003,30.18,720.0,6,staging,product-engineering,24.0,platform,70,True,m5.medium,35.0,35.0,Right-size one family step after validation
i-0019,m5.2xlarge,13.01,44.54,25.01833333333333,33.72,720.0,6,development,lending-backend,24.0,lending,280,True,m5.xlarge,140.0,140.0,Right-size one family step after validation
i-0020,r5.xlarge,13.665,35.67,19.521666666666665,30.74,720.0,6,sandbox,platform-infra,24.0,payments,175,True,r5.large,87.5,87.5,Right-size one family step after validation
i-0021,r5.2xlarge,13.685,42.78,23.458333333333332,34.22,720.0,6,production,data-engineering,24.0,platform,350,True,r5.xlarge,175.0,175.0,Right-size one family step after validation
i-0022,c5.xlarge,12.841666666666667,44.1,26.233333333333334,33.42,720.0,6,staging,payments,24.0,lending,125,True,c5.large,62.5,62.5,Right-size one family step after validation
i-0023,c5.2xlarge,13.188333333333333,44.22,25.44666666666667,34.42,720.0,6,development,risk-engineering,24.0,payments,250,True,c5.xlarge,125.0,125.0,Right-size one family step after validation
i-0024,t3.large,15.016666666666666,42.38,20.381666666666668,28.09,720.0,6,sandbox,product-engineering,24.0,platform,60,True,t3.medium,30.0,30.0,Right-size one family step after validation
i-0025,m5.xlarge,13.19,37.26,22.125,34.68,720.0,6,production,lending-backend,24.0,lending,140,True,m5.large,70.0,70.0,Right-size one family step after validation
i-0026,m5.large,12.4,37.63,23.771666666666665,32.08,720.0,6,staging,platform-infra,24.0,payments,70,True,m5.medium,35.0,35.0,Right-size one family step after validation
i-0027,m5.2xlarge,14.530000000000001,42.01,20.448333333333334,29.4,720.0,6,development,data-engineering,24.0,platform,280,True,m5.xlarge,140.0,140.0,Right-size one family step after validation
i-0028,r5.xlarge,14.375,43.31,25.313333333333333,34.3,720.0,6,sandbox,payments,24.0,lending,175,True,r5.large,87.5,87.5,Right-size one family step after validation
i-0029,r5.2xlarge,12.584999999999999,42.21,24.885,30.71,720.0,6,production,risk-engineering,24.0,payments,350,True,r5.xlarge,175.0,175.0,Right-size one family step after validation
i-0030,c5.xlarge,11.876666666666667,41.83,25.99,34.05,720.0,6,staging,product-engineering,24.0,platform,125,True,c5.large,62.5,62.5,Right-size one family step after validation
i-0031,c5.2xlarge,12.843333333333334,43.22,24.245,34.45,720.0,6,development,lending-backend,24.0,lending,250,True,c5.xlarge,125.0,125.0,Right-size one family step after validation
i-0032,t3.large,15.326666666666666,44.89,22.795,31.02,720.0,6,sandbox,platform-infra,24.0,payments,60,True,t3.medium,30.0,30.0,Right-size one family step after validation
i-0033,m5.xlarge,13.298333333333334,40.71,22.295,32.66,720.0,6,production,data-engineering,24.0,platform,140,True,m5.large,70.0,70.0,Right-size one family step after validation
