date,service,resource_type,resource_id,cost,tags,region
2026-01-01,EC2,EC2,ec2-001,66.59,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-01-02,EC2,EC2,ec2-001,63.71,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-01-03,EC2,EC2,ec2-001,68.3,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-01-04,EC2,EC2,ec2-001,73.74,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-01-05,EC2,EC2,ec2-001,64.49,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-01-06,EC2,EC2,ec2-001,64.91,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-01-07,EC2,EC2,ec2-001,75.53,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-01-08,EC2,EC2,ec2-001,71.24,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-01-09,EC2,EC2,ec2-001,64.94,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-01-10,EC2,EC2,ec2-001,70.86,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-01-11,EC2,EC2,ec2-001,65.8,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-01-12,EC2,EC2,ec2-001,66.2,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-01-13,EC2,EC2,ec2-001,70.49,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-01-14,EC2,EC2,ec2-001,59.69,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-01-15,EC2,EC2,ec2-001,60.97,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-01-16,EC2,EC2,ec2-001,67.33,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
2026-01-17,EC2,EC2,ec2-001,65.34,business_unit=lending;product=personal_loans;environment=production;cost_centre=CC-1001;team=lending-backend;service=ec2-001;created_by=terraform;ttl=permanent;compliance_scope=rbi-it;data_classification=confidential,ap-south-1
