date,source,destination,transfer_type,gb_transferred,cost
2026-01-01,service-1,service-2,cross-AZ,526.51,5.27
2026-01-01,service-2,service-3,cross-region,2495.58,49.91
2026-01-01,service-3,service-4,internet-egress,2076.81,93.46
2026-01-01,service-4,service-5,VPC-peering,925.22,9.25
2026-01-01,service-5,service-6,cross-AZ,1122.89,11.23
2026-01-01,service-6,service-7,cross-region,722.06,14.44
2026-01-01,service-7,service-8,internet-egress,1941.07,87.35
2026-01-01,service-8,service-9,VPC-peering,1013.74,10.14
2026-01-01,service-9,service-10,cross-AZ,1912.45,19.12
2026-01-01,service-10,service-11,cross-region,144.16,2.88
2026-01-01,service-11,service-12,internet-egress,425.49,19.15
2026-01-01,service-12,service-1,VPC-peering,975.94,9.76
2026-01-01,service-1,service-2,cross-AZ,361.38,3.61
2026-01-01,service-2,service-3,cross-region,1542.71,30.85
2026-01-01,service-3,service-4,internet-egress,222.0,9.99
2026-01-01,service-4,service-5,VPC-peering,2163.43,21.63
2026-01-01,service-5,service-6,cross-AZ,1927.14,19.27
2026-01-01,service-6,service-7,cross-region,619.02,12.38
2026-01-01,service-7,service-8,internet-egress,1261.1,56.75
2026-01-01,service-8,service-9,VPC-peering,1184.35,11.84
2026-01-02,service-1,service-2,cross-AZ,1839.68,18.4
2026-01-02,service-2,service-3,cross-region,1063.62,21.27
2026-01-02,service-3,service-4,internet-egress,179.04,8.06
2026-01-02,service-4,service-5,VPC-peering,756.97,7.57
2026-01-02,service-5,service-6,cross-AZ,1218.87,12.19
2026-01-02,service-6,service-7,cross-region,2438.78,48.78
2026-01-02,service-7,service-8,internet-egress,2214.78,99.67
2026-01-02,service-8,service-9,VPC-peering,535.37,5.35
2026-01-02,service-9,service-10,cross-AZ,1835.86,18.36
2026-01-02,service-10,service-11,cross-region,2348.38,46.97
2026-01-02,service-11,service-12,internet-egress,121.1,5.45
2026-01-02,service-12,service-1,VPC-peering,1830.27,18.3
2026-01-02,service-1,service-2,cross-AZ,1202.4,12.02
2026-01-02,service-2,service-3,cross-region,1732.57,34.65
2026-01-02,service-3,service-4,internet-egress,1553.41,69.9
