instance_id,type,avg_cpu,max_cpu,avg_mem,hours_running,month,environment,team
i-0001,m5.xlarge,16.68,24.48,25.18,720,2026-01,production,lending-backend
i-0001,m5.xlarge,18.82,27.27,30.27,720,2026-02,production,lending-backend
i-0001,m5.xlarge,13.4,21.0,29.55,720,2026-03,production,lending-backend
i-0001,m5.xlarge,9.85,35.79,13.97,720,2026-04,production,lending-backend
i-0001,m5.xlarge,18.42,27.29,17.21,720,2026-05,production,lending-backend
i-0001,m5.xlarge,9.42,43.65,28.37,720,2026-06,production,lending-backend
i-0002,m5.large,16.16,32.49,22.92,720,2026-01,staging,platform-infra
i-0002,m5.large,9.21,34.0,17.68,720,2026-02,staging,platform-infra
i-0002,m5.large,18.75,39.91,21.5,720,2026-03,staging,platform-infra
i-0002,m5.large,9.66,39.63,14.81,720,2026-04,staging,platform-infra
i-0002,m5.large,10.08,25.29,24.81,720,2026-05,staging,platform-infra
i-0002,m5.large,16.66,27.86,13.95,720,2026-06,staging,platform-infra
i-0003,m5.2xlarge,13.11,38.7,17.1,720,2026-01,development,data-engineering
i-0003,m5.2xlarge,10.42,43.68,33.95,720,2026-02,development,data-engineering
i-0003,m5.2xlarge,18.9,40.19,16.33,720,2026-03,development,data-engineering
i-0003,m5.2xlarge,10.33,28.51,19.32,720,2026-04,development,data-engineering
i-0003,m5.2xlarge,18.52,39.73,28.65,720,2026-05,development,data-engineering
i-0003,m5.2xlarge,10.05,42.74,31.04,720,2026-06,development,data-engineering
i-0004,r5.xlarge,9.8,41.78,18.26,720,2026-01,sandbox,payments
i-0004,r5.xlarge,8.89,36.42,27.04,720,2026-02,sandbox,payments
i-0004,r5.xlarge,9.04,27.97,34.83,720,2026-03,sandbox,payments
i-0004,r5.xlarge,15.46,38.25,16.9,720,2026-04,sandbox,payments
i-0004,r5.xlarge,8.87,26.92,17.72,720,2026-05,sandbox,payments
i-0004,r5.xlarge,10.58,24.82,25.22,720,2026-06,sandbox,payments
i-0005,r5.2xlarge,11.61,40.51,16.23,720,2026-01,production,risk-engineering
i-0005,r5.2xlarge,13.11,20.34,23.08,720,2026-02,production,risk-engineering
i-0005,r5.2xlarge,8.61,44.44,30.18,720,2026-03,production,risk-engineering
i-0005,r5.2xlarge,13.39,22.16,25.63,720,2026-04,production,risk-engineering
i-0005,r5.2xlarge,16.35,24.77,25.07,720,2026-05,production,risk-engineering
i-0005,r5.2xlarge,16.96,39.21,30.47,720,2026-06,production,risk-engineering
i-0006,c5.xlarge,17.67,43.44,21.33,720,2026-01,staging,product-engineering
i-0006,c5.xlarge,14.26,39.77,28.03,720,2026-02,staging,product-engineering
i-0006,c5.xlarge,18.95,20.34,20.17,720,2026-03,staging,product-engineering
i-0006,c5.xlarge,11.09,26.56,17.12,720,2026-04,staging,product-engineering
i-0006,c5.xlarge,15.8,22.12,29.06,720,2026-05,staging,product-engineering
i-0006,c5.xlarge,15.63,26.27,17.82,720,2026-06,staging,product-engineering
i-0007,c5.2xlarge,14.92,39.05,32.16,720,2026-01,development,lending-backend
i-0007,c5.2xlarge,17.37,44.12,25.37,720,2026-02,development,lending-backend
i-0007,c5.2xlarge,18.0,40.21,32.58,720,2026-03,development,lending-backend
i-0007,c5.2xlarge,8.13,44.15,22.89,720,2026-04,development,lending-backend
i-0007,c5.2xlarge,16.78,23.18,21.11,720,2026-05,development,lending-backend
i-0007,c5.2xlarge,10.99,27.29,14.83,720,2026-06,development,lending-backend
i-0008,t3.large,16.86,20.23,19.19,720,2026-01,sandbox,platform-infra
i-0008,t3.large,9.92,34.73,17.85,720,2026-02,sandbox,platform-infra
i-0008,t3.large,10.85,32.21,27.01,720,2026-03,sandbox,platform-infra
i-0008,t3.large,9.33,24.39,17.69,720,2026-04,sandbox,platform-infra
i-0008,t3.large,18.71,29.93,25.78,720,2026-05,sandbox,platform-infra
i-0008,t3.large,10.66,32.26,13.7,720,2026-06,sandbox,platform-infra
i-0009,m5.xlarge,8.38,31.72,21.17,720,2026-01,production,data-engineering
i-0009,m5.xlarge,9.51,37.19,34.84,720,2026-02,production,data-engineering
i-0009,m5.xlarge,12.35,35.61,34.15,720,2026-03,production,data-engineering
i-0009,m5.xlarge,17.15,31.59,28.96,720,2026-04,production,data-engineering
i-0009,m5.xlarge,9.41,32.8,18.42,720,2026-05,production,data-engineering
i-0009,m5.xlarge,9.77,30.66,15.01,720,2026-06,production,data-engineering
i-0010,m5.large,15.69,31.41,24.22,720,2026-01,staging,payments
i-0010,m5.large,9.61,23.49,25.42,720,2026-02,staging,payments
i-0010,m5.large,18.84,22.41,18.57,720,2026-03,staging,payments
i-0010,m5.large,17.56,21.81,32.15,720,2026-04,staging,payments
i-0010,m5.large,13.77,30.21,19.12,720,2026-05,staging,payments
i-0010,m5.large,11.27,27.65,32.35,720,2026-06,staging,payments
i-0011,m5.2xlarge,15.96,36.74,30.37,720,2026-01,development,risk-engineering
i-0011,m5.2xlarge,10.83,35.45,22.58,720,2026-02,development,risk-engineering
i-0011,m5.2xlarge,16.61,27.73,26.79,720,2026-03,development,risk-engineering
i-0011,m5.2xlarge,17.7,30.05,13.53,720,2026-04,development,risk-engineering
i-0011,m5.2xlarge,13.68,28.65,27.46,720,2026-05,development,risk-engineering
i-0011,m5.2xlarge,18.46,32.14,22.72,720,2026-06,development,risk-engineering
i-0012,r5.xlarge,15.2,22.59,17.83,720,2026-01,sandbox,product-engineering
i-0012,r5.xlarge,18.11,36.75,12.31,720,2026-02,sandbox,product-engineering
i-0012,r5.xlarge,10.25,37.07,29.58,720,2026-03,sandbox,product-engineering
i-0012,r5.xlarge,17.24,27.3,33.41,720,2026-04,sandbox,product-engineering
i-0012,r5.xlarge,14.08,37.41,25.72,720,2026-05,sandbox,product-engineering
i-0012,r5.xlarge,9.35,44.08,14.83,720,2026-06,sandbox,product-engineering
i-0013,r5.2xlarge,10.8,40.34,26.23,720,2026-01,production,lending-backend
i-0013,r5.2xlarge,17.22,32.89,20.67,720,2026-02,production,lending-backend
i-0013,r5.2xlarge,18.14,20.91,31.69,720,2026-03,production,lending-backend
i-0013,r5.2xlarge,10.54,41.22,15.2,720,2026-04,production,lending-backend
i-0013,r5.2xlarge,14.38,42.2,22.89,720,2026-05,production,lending-backend
i-0013,r5.2xlarge,16.21,40.12,28.94,720,2026-06,production,lending-backend
i-0014,c5.xlarge,18.18,31.17,15.98,720,2026-01,staging,platform-infra
i-0014,c5.xlarge,8.53,26.16,15.29,720,2026-02,staging,platform-infra
i-0014,c5.xlarge,14.14,24.62,12.9,720,2026-03,staging,platform-infra
i-0014,c5.xlarge,8.4,40.79,25.6,720,2026-04,staging,platform-infra
i-0014,c5.xlarge,11.94,42.36,13.61,720,2026-05,staging,platform-infra
i-0014,c5.xlarge,18.78,35.41,16.22,720,2026-06,staging,platform-infra
i-0015,c5.2xlarge,15.47,39.08,21.87,720,2026-01,development,data-engineering
i-0015,c5.2xlarge,17.48,23.77,18.41,720,2026-02,development,data-engineering
i-0015,c5.2xlarge,9.03,25.27,17.49,720,2026-03,development,data-engineering
i-0015,c5.2xlarge,18.09,21.95,21.83,720,2026-04,development,data-engineering
i-0015,c5.2xlarge,13.86,42.47,34.95,720,2026-05,development,data-engineering
i-0015,c5.2xlarge,16.29,44.27,30.1,720,2026-06,development,data-engineering
i-0016,t3.large,18.6,37.68,13.83,720,2026-01,sandbox,payments
i-0016,t3.large,12.42,36.16,20.07,720,2026-02,sandbox,payments
i-0016,t3.large,11.01,34.43,33.47,720,2026-03,sandbox,payments
i-0016,t3.large,8.38,39.23,28.62,720,2026-04,sandbox,payments
i-0016,t3.large,18.6,43.27,29.53,720,2026-05,sandbox,payments
i-0016,t3.large,13.72,25.11,24.54,720,2026-06,sandbox,payments
i-0017,m5.xlarge,16.42,42.39,30.16,720,2026-01,production,risk-engineering
i-0017,m5.xlarge,10.15,34.99,19.64,720,2026-02,production,risk-engineering
i-0017,m5.xlarge,8.1,25.01,14.6,720,2026-03,production,risk-engineering
i-0017,m5.xlarge,17.27,26.46,18.55,720,2026-04,production,risk-engineering
i-0017,m5.xlarge,18.56,29.48,12.22,720,2026-05,production,risk-engineering
i-0017,m5.xlarge,11.12,22.98,14.36,720,2026-06,production,risk-engineering
i-0018,m5.large,8.85,34.83,16.35,720,2026-01,staging,product-engineering
i-0018,m5.large,11.97,41.55,21.76,720,2026-02,staging,product-engineering
i-0018,m5.large,18.07,32.45,21.17,720,2026-03,staging,product-engineering
i-0018,m5.large,16.25,21.83,14.06,720,2026-04,staging,product-engineering
i-0018,m5.large,15.17,32.17,30.18,720,2026-05,staging,product-engineering
i-0018,m5.large,18.08,29.71,25.72,720,2026-06,staging,product-engineering
i-0019,m5.2xlarge,13.51,44.54,31.11,720,2026-01,development,lending-backend
i-0019,m5.2xlarge,18.03,26.36,29.77,720,2026-02,development,lending-backend
