month,service_category,cost,budget,variance
2026-01,Compute,20218.79,21027.54,-808.75
2026-01,Storage,5020.24,5221.05,-200.81
2026-01,Database,7813.29,8125.82,-312.53
2026-01,Data Transfer,4774.26,4965.23,-190.97
2026-01,Networking,2852.62,2966.72,-114.1
2026-01,Monitoring,1694.86,1762.66,-67.79
2026-01,Security & Compliance,1168.94,1215.7,-46.76
2026-01,Messaging,952.77,990.88,-38.11
2026-01,Kubernetes/EKS,1980.37,2059.58,-79.21
2026-01,Serverless,976.6,1015.67,-39.06
2026-01,Analytics/ML,1395.27,1451.08,-55.81
2026-01,Backup/Snapshots,1152.0,1198.08,-46.08
2026-02,Compute,27881.86,28439.5,-557.64
2026-02,Storage,6817.44,6953.79,-136.35
2026-02,Database,10436.37,10645.09,-208.73
2026-02,Data Transfer,6358.82,6486.0,-127.18
2026-02,Networking,3852.79,3929.85,-77.06
2026-02,Monitoring,2330.39,2377.0,-46.61
2026-02,Security & Compliance,1615.16,1647.46,-32.3
2026-02,Messaging,1300.6,1326.61,-26.01
2026-02,Kubernetes/EKS,2655.34,2708.45,-53.11
2026-02,Serverless,1299.34,1325.32,-25.99
2026-02,Analytics/ML,1874.79,1912.29,-37.5
2026-02,Backup/Snapshots,1577.1,1608.64,-31.54
2026-03,Compute,37884.06,37126.37,757.68
2026-03,Storage,9111.17,8928.95,182.22
2026-03,Database,13907.76,13629.61,278.16
2026-03,Data Transfer,8593.02,8421.16,171.86
2026-03,Networking,5300.39,5194.38,106.01
2026-03,Monitoring,3221.72,3157.28,64.43
2026-03,Security & Compliance,2206.03,2161.9,44.12
2026-03,Messaging,1744.84,1709.94,34.9
2026-03,Kubernetes/EKS,3534.76,3464.06,70.7
2026-03,Serverless,1746.84,1711.91,34.94
2026-03,Analytics/ML,2568.01,2516.65,51.36
2026-03,Backup/Snapshots,2181.4,2137.77,43.63
2026-04,Compute,49369.97,46407.77,2962.2
2026-04,Storage,11839.57,11129.2,710.37
2026-04,Database,18326.54,17226.95,1099.59
2026-04,Data Transfer,11527.41,10835.76,691.64
2026-04,Networking,7145.3,6716.58,428.72
2026-04,Monitoring,4290.79,4033.34,257.45
2026-04,Security & Compliance,2885.86,2712.71,173.15
2026-04,Messaging,2264.9,2129.01,135.89
2026-04,Kubernetes/EKS,4633.9,4355.87,278.03
2026-04,Serverless,2333.2,2193.21,139.99
2026-04,Analytics/ML,3463.59,3255.77,207.82
2026-04,Backup/Snapshots,2918.98,2743.84,175.14
2026-05,Compute,60723.1,54650.79,6072.31
2026-05,Storage,14766.87,13290.19,1476.69
2026-05,Database,23269.96,20942.96,2327.0
2026-05,Data Transfer,14708.68,13237.81,1470.87
2026-05,Networking,9007.4,8106.66,900.74
2026-05,Monitoring,5312.9,4781.61,531.29
2026-05,Security & Compliance,3545.67,3191.1,354.57
2026-05,Messaging,2810.38,2529.34,281.04
2026-05,Kubernetes/EKS,5858.33,5272.49,585.83
2026-05,Serverless,2978.59,2680.73,297.86
2026-05,Analytics/ML,4386.83,3948.15,438.68
2026-05,Backup/Snapshots,3631.29,3268.16,363.13
2026-06,Compute,71930.02,63298.41,8631.6
2026-06,Storage,17807.68,15670.75,2136.92
2026-06,Database,28199.49,24815.55,3383.94
2026-06,Data Transfer,17609.88,15496.69,2113.19
2026-06,Networking,10592.47,9321.38,1271.1
2026-06,Monitoring,6199.52,5455.57,743.94
2026-06,Security & Compliance,4178.48,3677.06,501.42
2026-06,Messaging,3374.39,2969.47,404.93
2026-06,Kubernetes/EKS,7102.91,6250.56,852.35
2026-06,Serverless,3582.94,3152.98,429.95
2026-06,Analytics/ML,5183.04,4561.08,621.97
2026-06,Backup/Snapshots,4239.2,3730.5,508.7
