ri_id,instance_type,term,payment,utilisation,expiry_date
ri-0001,m5.xlarge,1-year,partial-upfront,30.25,2027-03-07
ri-0002,m5.large,3-year,partial-upfront,47.27,2026-10-08
ri-0003,m5.2xlarge,1-year,partial-upfront,53.82,2026-09-12
ri-0004,r5.xlarge,3-year,no-upfront,45.25,2027-02-10
ri-0005,r5.2xlarge,1-year,partial-upfront,25.55,2026-08-04
ri-0006,c5.xlarge,1-year,no-upfront,59.18,2027-05-05
ri-0007,c5.2xlarge,1-year,all-upfront,60.76,2026-10-14
ri-0008,t3.large,3-year,no-upfront,45.94,2027-04-05
ri-0009,m5.xlarge,1-year,no-upfront,62.15,2027-03-03
ri-0010,m5.large,1-year,no-upfront,30.05,2026-11-14
ri-0011,m5.2xlarge,1-year,no-upfront,24.1,2027-06-21
ri-0012,r5.xlarge,3-year,no-upfront,22.74,2026-09-01
ri-0013,r5.2xlarge,3-year,no-upfront,44.19,2027-04-26
ri-0014,c5.xlarge,3-year,no-upfront,40.08,2026-08-18
ri-0015,c5.2xlarge,1-year,partial-upfront,50.15,2027-01-07
ri-0016,t3.large,1-year,no-upfront,37.1,2026-10-23
ri-0017,m5.xlarge,1-year,no-upfront,33.56,2027-02-01
ri-0018,m5.large,3-year,no-upfront,33.74,2026-11-27
ri-0019,m5.2xlarge,1-year,no-upfront,43.25,2027-01-07
ri-0020,r5.xlarge,1-year,no-upfront,44.95,2026-11-01
ri-0021,r5.2xlarge,1-year,no-upfront,49.99,2027-03-28
ri-0022,c5.xlarge,3-year,no-upfront,30.35,2026-11-12
ri-0023,c5.2xlarge,1-year,partial-upfront,49.01,2027-02-15
ri-0024,t3.large,1-year,no-upfront,34.82,2026-09-22
ri-0025,m5.xlarge,3-year,partial-upfront,64.36,2027-01-12
ri-0026,m5.large,1-year,no-upfront,45.91,2027-03-11
ri-0027,m5.2xlarge,1-year,no-upfront,59.65,2027-02-22
ri-0028,r5.xlarge,3-year,no-upfront,49.32,2027-02-12
ri-0029,r5.2xlarge,1-year,no-upfront,51.72,2027-06-27
ri-0030,c5.xlarge,1-year,all-upfront,45.76,2027-03-07
ri-0031,c5.2xlarge,3-year,no-upfront,60.25,2027-06-01
ri-0032,t3.large,1-year,partial-upfront,54.77,2026-08-11
ri-0033,m5.xlarge,1-year,no-upfront,21.52,2027-02-20
ri-0034,m5.large,1-year,partial-upfront,38.63,2026-10-17
ri-0035,m5.2xlarge,1-year,all-upfront,29.44,2027-01-25
ri-0036,r5.xlarge,3-year,all-upfront,93.13,2027-03-17
ri-0037,r5.2xlarge,1-year,partial-upfront,94.4,2026-08-07
ri-0038,c5.xlarge,1-year,no-upfront,81.67,2027-06-27
ri-0039,c5.2xlarge,1-year,no-upfront,82.32,2026-11-07
ri-0040,t3.large,1-year,no-upfront,88.3,2026-10-15
ri-0041,m5.xlarge,1-year,no-upfront,68.36,2026-11-26
ri-0042,m5.large,3-year,no-upfront,60.01,2026-09-08
ri-0043,m5.2xlarge,1-year,no-upfront,71.16,2027-06-01
ri-0044,r5.xlarge,1-year,all-upfront,98.7,2026-12-19
ri-0045,r5.2xlarge,1-year,no-upfront,71.13,2026-11-11
ri-0046,c5.xlarge,1-year,partial-upfront,79.44,2026-09-24
ri-0047,c5.2xlarge,1-year,no-upfront,87.61,2026-10-26
ri-0048,t3.large,1-year,partial-upfront,88.44,2027-01-02
ri-0049,m5.xlarge,1-year,partial-upfront,79.87,2026-10-21
ri-0050,m5.large,1-year,no-upfront,92.73,2027-03-01
ri-0051,m5.2xlarge,1-year,partial-upfront,94.12,2026-12-06
ri-0052,r5.xlarge,1-year,no-upfront,63.7,2026-11-18
ri-0053,r5.2xlarge,1-year,no-upfront,85.48,2027-05-02
ri-0054,c5.xlarge,1-year,partial-upfront,84.98,2027-01-09
ri-0055,c5.2xlarge,1-year,no-upfront,74.9,2027-01-20
ri-0056,t3.large,1-year,no-upfront,55.53,2026-07-25
ri-0057,m5.xlarge,1-year,no-upfront,61.36,2027-03-23
ri-0058,m5.large,1-year,partial-upfront,97.32,2027-03-01
ri-0059,m5.2xlarge,1-year,no-upfront,57.76,2026-12-31
ri-0060,r5.xlarge,3-year,partial-upfront,90.68,2026-12-21
ri-0061,r5.2xlarge,1-year,no-upfront,61.17,2026-12-13
ri-0062,c5.xlarge,1-year,partial-upfront,97.16,2026-09-24
ri-0063,c5.2xlarge,1-year,no-upfront,78.11,2027-05-15
ri-0064,t3.large,1-year,no-upfront,56.81,2027-04-12
ri-0065,m5.xlarge,1-year,no-upfront,94.3,2027-05-09
ri-0066,m5.large,1-year,no-upfront,87.18,2027-02-15
ri-0067,m5.2xlarge,1-year,partial-upfront,80.63,2027-03-10
ri-0068,r5.xlarge,1-year,no-upfront,77.01,2026-09-20
ri-0069,r5.2xlarge,1-year,no-upfront,66.63,2026-11-29
ri-0070,c5.xlarge,1-year,all-upfront,67.13,2026-09-28
ri-0071,c5.2xlarge,1-year,all-upfront,72.81,2026-12-03
ri-0072,t3.large,1-year,no-upfront,94.28,2026-08-26
ri-0073,m5.xlarge,1-year,partial-upfront,84.55,2026-11-24
ri-0074,m5.large,3-year,no-upfront,58.27,2027-05-11
ri-0075,m5.2xlarge,1-year,no-upfront,92.3,2026-09-08
ri-0076,r5.xlarge,3-year,partial-upfront,71.18,2026-12-03
ri-0077,r5.2xlarge,1-year,no-upfront,70.82,2027-01-10
ri-0078,c5.xlarge,3-year,all-upfront,59.77,2026-07-04
ri-0079,c5.2xlarge,1-year,partial-upfront,81.17,2027-02-23
ri-0080,t3.large,1-year,no-upfront,60.23,2026-08-03
ri-0081,m5.xlarge,1-year,no-upfront,55.77,2027-03-14
ri-0082,m5.large,3-year,partial-upfront,72.92,2026-09-16
ri-0083,m5.2xlarge,1-year,no-upfront,78.45,2027-05-15
ri-0084,r5.xlarge,1-year,no-upfront,61.71,2026-12-19
ri-0085,r5.2xlarge,1-year,no-upfront,60.19,2026-08-31
ri-0086,c5.xlarge,1-year,partial-upfront,87.0,2027-05-02
ri-0087,c5.2xlarge,1-year,no-upfront,88.14,2026-07-12
ri-0088,t3.large,1-year,no-upfront,57.02,2027-06-06
ri-0089,m5.xlarge,1-year,partial-upfront,59.76,2027-03-09
ri-0090,m5.large,1-year,no-upfront,91.68,2026-09-04
ri-0091,m5.2xlarge,1-year,partial-upfront,90.78,2026-08-30
ri-0092,r5.xlarge,1-year,no-upfront,75.46,2027-06-18
ri-0093,r5.2xlarge,1-year,no-upfront,59.27,2027-01-20
ri-0094,c5.xlarge,1-year,no-upfront,78.87,2026-08-21
ri-0095,c5.2xlarge,3-year,no-upfront,69.91,2026-08-30
ri-0096,t3.large,1-year,all-upfront,67.85,2027-01-05
ri-0097,m5.xlarge,1-year,no-upfront,96.35,2026-09-25
ri-0098,m5.large,3-year,no-upfront,87.99,2026-07-03
ri-0099,m5.2xlarge,3-year,all-upfront,93.83,2027-05-20
ri-0100,r5.xlarge,1-year,partial-upfront,77.79,2026-07-28
ri-0101,r5.2xlarge,3-year,no-upfront,66.22,2026-10-23
ri-0102,c5.xlarge,1-year,no-upfront,97.94,2026-08-31
ri-0103,c5.2xlarge,1-year,partial-upfront,77.17,2026-12-17
ri-0104,t3.large,3-year,no-upfront,56.37,2026-08-19
ri-0105,m5.xlarge,1-year,no-upfront,88.56,2026-07-20
ri-0106,m5.large,3-year,no-upfront,85.94,2027-06-22
ri-0107,m5.2xlarge,1-year,no-upfront,75.39,2027-02-16
ri-0108,r5.xlarge,1-year,no-upfront,55.9,2026-10-24
ri-0109,r5.2xlarge,1-year,partial-upfront,71.42,2027-03-13
ri-0110,c5.xlarge,1-year,partial-upfront,97.94,2026-07-06
ri-0111,c5.2xlarge,1-year,partial-upfront,98.95,2027-04-13
ri-0112,t3.large,1-year,partial-upfront,86.94,2027-06-25
ri-0113,m5.xlarge,1-year,partial-upfront,80.1,2027-06-16
ri-0114,m5.large,3-year,partial-upfront,61.58,2026-08-12
ri-0115,m5.2xlarge,1-year,no-upfront,74.55,2026-11-04
ri-0116,r5.xlarge,1-year,no-upfront,71.42,2026-08-31
ri-0117,r5.2xlarge,1-year,no-upfront,89.64,2026-09-01
ri-0118,c5.xlarge,1-year,no-upfront,98.69,2026-12-23
ri-0119,c5.2xlarge,1-year,no-upfront,62.38,2027-03-18
ri-0120,t3.large,1-year,no-upfront,75.17,2027-03-04
ri-0121,m5.xlarge,1-year,no-upfront,68.55,2027-03-01
ri-0122,m5.large,3-year,no-upfront,81.81,2026-11-02
ri-0123,m5.2xlarge,1-year,partial-upfront,86.2,2027-02-11
ri-0124,r5.xlarge,1-year,no-upfront,59.24,2027-01-11
ri-0125,r5.2xlarge,1-year,all-upfront,64.84,2026-12-17
ri-0126,c5.xlarge,1-year,all-upfront,62.75,2027-02-20
ri-0127,c5.2xlarge,3-year,no-upfront,84.66,2026-11-04
ri-0128,t3.large,3-year,no-upfront,69.37,2026-12-06
ri-0129,m5.xlarge,1-year,all-upfront,72.3,2027-02-17
ri-0130,m5.large,1-year,no-upfront,72.04,2026-11-23
ri-0131,m5.2xlarge,1-year,all-upfront,79.91,2026-08-21
ri-0132,r5.xlarge,1-year,partial-upfront,56.54,2027-04-24
ri-0133,r5.2xlarge,1-year,no-upfront,71.41,2026-07-30
ri-0134,c5.xlarge,3-year,no-upfront,96.7,2026-12-24
ri-0135,c5.2xlarge,1-year,no-upfront,72.26,2026-09-15
ri-0136,t3.large,1-year,partial-upfront,95.74,2026-09-29
ri-0137,m5.xlarge,1-year,no-upfront,70.02,2026-10-26
ri-0138,m5.large,3-year,no-upfront,63.83,2027-04-12
ri-0139,m5.2xlarge,1-year,no-upfront,78.17,2027-02-25
ri-0140,r5.xlarge,3-year,partial-upfront,98.78,2027-06-13
ri-0141,r5.2xlarge,3-year,no-upfront,84.88,2026-10-07
ri-0142,c5.xlarge,1-year,all-upfront,66.97,2026-12-17
ri-0143,c5.2xlarge,3-year,partial-upfront,55.11,2027-02-07
ri-0144,t3.large,1-year,no-upfront,66.82,2027-03-16
ri-0145,m5.xlarge,3-year,all-upfront,83.05,2026-12-02
ri-0146,m5.large,1-year,partial-upfront,94.34,2027-01-27
ri-0147,m5.2xlarge,1-year,no-upfront,95.87,2027-03-23
ri-0148,r5.xlarge,1-year,partial-upfront,94.89,2027-06-02
ri-0149,r5.2xlarge,3-year,partial-upfront,69.18,2026-12-25
ri-0150,c5.xlarge,1-year,partial-upfront,97.6,2026-10-03
ri-0151,c5.2xlarge,3-year,no-upfront,81.41,2027-03-26
ri-0152,t3.large,1-year,partial-upfront,65.1,2027-06-29
ri-0153,m5.xlarge,3-year,no-upfront,88.72,2027-04-07
ri-0154,m5.large,1-year,all-upfront,76.46,2026-12-19
ri-0155,m5.2xlarge,3-year,no-upfront,83.74,2027-05-05
ri-0156,r5.xlarge,1-year,no-upfront,65.76,2026-08-08
ri-0157,r5.2xlarge,3-year,no-upfront,98.9,2027-01-27
ri-0158,c5.xlarge,3-year,partial-upfront,76.37,2027-01-30
ri-0159,c5.2xlarge,3-year,no-upfront,56.62,2026-12-06
ri-0160,t3.large,1-year,partial-upfront,96.44,2026-09-17
ri-0161,m5.xlarge,1-year,partial-upfront,84.11,2027-04-02
ri-0162,m5.large,1-year,no-upfront,72.46,2027-03-03
ri-0163,m5.2xlarge,3-year,no-upfront,73.42,2027-06-16
ri-0164,r5.xlarge,1-year,all-upfront,68.72,2027-01-04
ri-0165,r5.2xlarge,1-year,no-upfront,79.28,2026-09-03
ri-0166,c5.xlarge,1-year,no-upfront,69.19,2027-01-22
ri-0167,c5.2xlarge,1-year,partial-upfront,66.37,2027-02-13
ri-0168,t3.large,1-year,no-upfront,89.26,2027-04-12
ri-0169,m5.xlarge,1-year,partial-upfront,90.28,2027-01-28
ri-0170,m5.large,1-year,no-upfront,98.61,2026-08-17
ri-0171,m5.2xlarge,1-year,no-upfront,79.13,2026-08-21
ri-0172,r5.xlarge,1-year,partial-upfront,77.07,2026-09-26
ri-0173,r5.2xlarge,1-year,partial-upfront,59.22,2026-11-23
ri-0174,c5.xlarge,3-year,no-upfront,98.63,2026-07-26
ri-0175,c5.2xlarge,1-year,no-upfront,57.15,2026-12-16
ri-0176,t3.large,3-year,partial-upfront,65.82,2026-11-23
ri-0177,m5.xlarge,1-year,all-upfront,92.9,2026-09-09
ri-0178,m5.large,1-year,no-upfront,92.37,2027-06-07
ri-0179,m5.2xlarge,1-year,no-upfront,95.91,2027-06-20
ri-0180,r5.xlarge,1-year,no-upfront,81.54,2027-02-14
ri-0181,r5.2xlarge,1-year,partial-upfront,68.98,2027-01-04
ri-0182,c5.xlarge,1-year,partial-upfront,92.61,2026-09-25
ri-0183,c5.2xlarge,1-year,no-upfront,57.09,2027-03-26
ri-0184,t3.large,3-year,no-upfront,95.94,2027-02-27
ri-0185,m5.xlarge,1-year,partial-upfront,79.79,2027-04-09
ri-0186,m5.large,1-year,no-upfront,67.44,2026-07-16
ri-0187,m5.2xlarge,3-year,partial-upfront,84.91,2026-08-21
ri-0188,r5.xlarge,1-year,no-upfront,56.99,2027-02-07
ri-0189,r5.2xlarge,1-year,no-upfront,89.32,2027-05-04
ri-0190,c5.xlarge,1-year,partial-upfront,65.79,2027-04-09
ri-0191,c5.2xlarge,3-year,no-upfront,70.64,2027-05-24
ri-0192,t3.large,1-year,partial-upfront,70.58,2027-03-09
ri-0193,m5.xlarge,3-year,no-upfront,76.05,2027-05-31
ri-0194,m5.large,1-year,partial-upfront,58.57,2026-12-08
ri-0195,m5.2xlarge,1-year,no-upfront,55.65,2026-07-03
ri-0196,r5.xlarge,1-year,no-upfront,72.96,2027-02-24
ri-0197,r5.2xlarge,1-year,partial-upfront,74.07,2027-02-02
ri-0198,c5.xlarge,1-year,partial-upfront,91.32,2026-08-22
ri-0199,c5.2xlarge,1-year,no-upfront,81.06,2026-11-15
ri-0200,t3.large,1-year,partial-upfront,61.0,2027-06-03
