resource_id,type,size_gb,storage_class,last_accessed,monthly_cost
stor-0001,S3,500,Standard,2025-08-15,11.5
stor-0002,EBS,1000,gp2,2026-06-15,80.0
stor-0003,EFS,100,Standard,2026-04-06,30.0
stor-0004,S3,250,Standard,2025-08-15,5.75
stor-0005,EBS,1000,gp3,2026-06-15,80.0
stor-0006,EFS,500,Standard,2026-01-29,150.0
stor-0007,S3,500,Standard,2025-08-15,11.5
stor-0008,EBS,100,gp3,2026-06-15,8.0
stor-0009,EFS,2000,Standard,2026-03-18,600.0
stor-0010,S3,2000,STANDARD_IA,2025-08-15,46.0
stor-0011,EBS,100,gp3,2026-06-15,8.0
stor-0012,EFS,500,Standard,2025-12-07,150.0
stor-0013,S3,1000,Standard,2025-08-15,23.0
stor-0014,EBS,1000,gp3,2026-06-15,80.0
stor-0015,EFS,100,Standard,2026-04-01,30.0
stor-0016,S3,2000,STANDARD_IA,2025-08-15,46.0
stor-0017,EBS,250,gp3,2026-06-15,20.0
stor-0018,EFS,2000,Standard,2026-02-05,600.0
stor-0019,S3,250,STANDARD_IA,2025-08-15,5.75
stor-0020,EBS,500,gp3,2026-06-15,40.0
stor-0021,EFS,100,Standard,2026-02-18,30.0
stor-0022,S3,50,STANDARD_IA,2025-08-15,1.15
stor-0023,EBS,500,gp2,2026-06-15,40.0
stor-0024,EFS,100,Standard,2025-12-06,30.0
stor-0025,S3,500,STANDARD_IA,2025-08-15,11.5
stor-0026,EBS,1000,gp3,2026-06-15,80.0
stor-0027,EFS,1000,Standard,2026-05-20,300.0
stor-0028,S3,500,Glacier,2025-08-15,11.5
stor-0029,EBS,500,gp3,2026-06-15,40.0
stor-0030,EFS,2000,Standard,2026-03-30,600.0
stor-0031,S3,1000,Glacier,2025-08-15,23.0
stor-0032,EBS,250,gp3,2026-06-15,20.0
stor-0033,EFS,500,Standard,2026-01-23,150.0
stor-0034,S3,2000,STANDARD_IA,2025-08-15,46.0
stor-0035,EBS,1000,gp3,2026-06-15,80.0
stor-0036,EFS,1000,Standard,2026-01-24,300.0
stor-0037,S3,1000,Glacier,2025-08-15,23.0
stor-0038,EBS,100,gp2,2026-06-15,8.0
stor-0039,EFS,100,Standard,2026-01-23,30.0
stor-0040,S3,250,Standard,2025-08-15,5.75
stor-0041,EBS,250,gp3,2026-06-15,20.0
stor-0042,EFS,500,Standard,2026-03-04,150.0
stor-0043,S3,2000,Glacier,2025-08-15,46.0
stor-0044,EBS,250,gp3,2026-06-15,20.0
stor-0045,EFS,100,Standard,2026-04-17,30.0
stor-0046,S3,50,Standard,2025-08-15,1.15
stor-0047,EBS,250,gp3,2026-06-15,20.0
stor-0048,EFS,2000,Standard,2026-04-19,600.0
stor-0049,S3,100,STANDARD_IA,2025-08-15,2.3
stor-0050,EBS,100,gp3,2026-06-15,8.0
stor-0051,EFS,500,Standard,2026-03-13,150.0
stor-0052,S3,500,Standard,2025-08-15,11.5
stor-0053,EBS,1000,gp2,2026-06-15,80.0
stor-0054,EFS,1000,Standard,2026-04-08,300.0
stor-0055,S3,2000,Glacier,2025-08-15,46.0
stor-0056,EBS,250,gp2,2026-06-15,20.0
stor-0057,EFS,1000,Standard,2026-01-25,300.0
stor-0058,S3,2000,Standard,2025-08-15,46.0
stor-0059,EBS,1000,gp2,2026-06-15,80.0
stor-0060,EFS,1000,Standard,2026-04-11,300.0
stor-0061,S3,1000,Glacier,2025-08-15,23.0
stor-0062,EBS,250,gp3,2026-06-15,20.0
stor-0063,EFS,500,Standard,2026-03-02,150.0
stor-0064,S3,250,Standard,2025-08-15,5.75
stor-0065,EBS,250,gp3,2026-06-15,20.0
stor-0066,EFS,100,Standard,2026-05-18,30.0
stor-0067,S3,1000,Standard,2025-08-15,23.0
stor-0068,EBS,100,gp2,2026-06-15,8.0
stor-0069,EFS,100,Standard,2026-05-15,30.0
stor-0070,S3,2000,STANDARD_IA,2025-08-15,46.0
stor-0071,EBS,1000,gp3,2026-06-15,80.0
stor-0072,EFS,100,Standard,2026-05-26,30.0
stor-0073,S3,100,STANDARD_IA,2025-08-15,2.3
stor-0074,EBS,100,gp3,2026-06-15,8.0
stor-0075,EFS,2000,Standard,2026-03-10,600.0
stor-0076,S3,1000,Standard,2025-08-15,23.0
stor-0077,EBS,500,gp3,2026-06-15,40.0
stor-0078,EFS,2000,Standard,2026-01-01,600.0
stor-0079,S3,1000,Glacier,2025-08-15,23.0
stor-0080,EBS,500,gp2,2026-06-15,40.0
stor-0081,EFS,1000,Standard,2026-05-01,300.0
