resource_id,resource_type,required_tags,missing_tags,compliance_status
res-00001,EC2,"business_unit,product,environment,cost_centre,team,service","cost_centre,team",NON_COMPLIANT
res-00002,RDS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00003,S3,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00004,EBS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00005,EFS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00006,ALB,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00007,NAT Gateway,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00008,Lambda,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00009,EKS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00010,SQS,"business_unit,product,environment,cost_centre,team,service",service,NON_COMPLIANT
res-00011,CloudWatch,"business_unit,product,environment,cost_centre,team,service","environment,product",NON_COMPLIANT
res-00012,SageMaker,"business_unit,product,environment,cost_centre,team,service","product,service",NON_COMPLIANT
res-00013,EC2,"business_unit,product,environment,cost_centre,team,service",environment,NON_COMPLIANT
res-00014,RDS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00015,S3,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00016,EBS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00017,EFS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00018,ALB,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00019,NAT Gateway,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00020,Lambda,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00021,EKS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00022,SQS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00023,CloudWatch,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00024,SageMaker,"business_unit,product,environment,cost_centre,team,service","cost_centre,product",NON_COMPLIANT
res-00025,EC2,"business_unit,product,environment,cost_centre,team,service",service,NON_COMPLIANT
res-00026,RDS,"business_unit,product,environment,cost_centre,team,service",service,NON_COMPLIANT
res-00027,S3,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00028,EBS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00029,EFS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00030,ALB,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00031,NAT Gateway,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00032,Lambda,"business_unit,product,environment,cost_centre,team,service",product,NON_COMPLIANT
res-00033,EKS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00034,SQS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00035,CloudWatch,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00036,SageMaker,"business_unit,product,environment,cost_centre,team,service",business_unit,NON_COMPLIANT
res-00037,EC2,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00038,RDS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00039,S3,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00040,EBS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00041,EFS,"business_unit,product,environment,cost_centre,team,service",business_unit,NON_COMPLIANT
res-00042,ALB,"business_unit,product,environment,cost_centre,team,service","cost_centre,service",NON_COMPLIANT
res-00043,NAT Gateway,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00044,Lambda,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00045,EKS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
res-00046,SQS,"business_unit,product,environment,cost_centre,team,service",,COMPLIANT
